id,strategy,stations,total_ambulances,completion_time,outstanding_req,idle_ambulances
0,1,1,6,1631.4589595674686,553.1725685714285,0.005888571428571427
1,1,1,7,1313.101494080522,443.4242242857143,0.007538571428571429
2,1,1,8,1001.1614615612339,341.95516000000003,0.01249857142857143
3,1,1,9,697.8431283777581,233.25764857142852,0.01810142857142857
4,1,1,10,396.12458643442676,130.79829571428573,0.026972857142857146
5,1,1,11,105.65830686111815,34.00551142857143,0.07238428571428572
6,1,1,12,23.85310136927566,3.670935714285714,0.7891471428571428
7,1,1,13,20.749299102156932,0.9229242857142858,1.7730257142857142
8,1,1,14,20.511502664703677,0.3326214285714286,2.7675514285714287
9,1,1,15,20.465666891339286,0.1275885714285714,3.730242857142857
10,1,1,16,20.460075403157205,0.044571428571428574,4.755820000000001
11,1,1,17,20.44867472673029,0.014431428571428572,5.747235714285714
12,1,1,18,20.45183734658149,0.004071428571428572,6.787894285714285
13,1,1,19,20.467897056738593,0.0011471428571428572,7.770305714285715
14,1,1,20,20.471179683476095,0.00027285714285714283,8.777337142857142
15,1,1,21,20.45755603757798,7.571428571428571e-05,9.751457142857141
16,1,1,22,20.468707852752765,0.0,10.770961428571429
17,1,1,23,20.470620067384132,0.0,11.765865714285713
18,1,1,24,20.47979589926415,0.0,12.75392
19,1,1,25,20.4724746672235,0.0,13.767352857142855
20,1,2,6,1137.0276813039231,487.69269999999995,2.4007671428571427
21,1,2,7,1137.6521461575753,485.7668157142858,3.40291
22,1,2,8,919.5324395089073,350.7338785714285,3.4025357142857144
23,1,2,9,904.2372925107676,354.2826671428572,4.401458571428572
24,1,2,10,596.6317054607335,217.26483857142856,4.408594285714286
25,1,2,11,604.5928777690071,214.75860428571428,5.407681428571427
26,1,2,12,234.81822081280697,84.25453857142857,5.419860000000001
27,1,2,13,242.8889269063711,79.60484857142856,6.416754285714285
28,1,2,14,19.932216744551067,4.091028571428571,6.827482857142857
29,1,2,15,21.10753900731147,4.725544285714286,7.832845714285714
30,1,2,16,14.741668349781026,0.7647114285714285,8.827448571428569
31,1,2,17,14.716128880478074,0.7605471428571429,9.824378571428571
32,1,2,18,14.450979959200138,0.20363571428571434,10.836275714285712
33,1,2,19,14.42225873599799,0.22705714285714287,11.827422857142857
34,1,2,20,14.429518418885507,0.06445285714285713,12.80398
35,1,2,21,14.396823633881258,0.06413142857142858,13.833845714285715
36,1,2,22,14.407556625003696,0.018918571428571427,14.794167142857143
37,1,2,23,14.406530301648301,0.01712714285714286,15.825962857142859
38,1,2,24,14.423707380320112,0.005054285714285714,16.81909142857143
39,1,2,25,14.415385700477175,0.004782857142857143,17.849562857142857
40,1,3,6,273.43665467269466,99.4260757142857,1.4583599999999997
41,1,3,7,277.1150607677449,101.25379857142858,2.4573771428571427
42,1,3,8,276.4806461793581,100.56481142857143,3.460261428571428
43,1,3,9,12.212446501378013,1.200444285714286,3.9582685714285706
44,1,3,10,12.210650649329136,1.18152,4.967867142857142
45,1,3,11,12.34058985245499,1.1867628571428572,5.952298571428571
46,1,3,12,11.235362617521956,0.1158,6.976095714285715
47,1,3,13,11.24275161578871,0.11550142857142857,7.9460500000000005
48,1,3,14,11.250092524982026,0.11755857142857144,8.942664285714285
49,1,3,15,11.24625852515459,0.01325285714285714,9.954295714285713
50,1,3,16,11.248038088640557,0.01269142857142857,10.947917142857143
51,1,3,17,11.24041645391889,0.012594285714285716,11.96375
52,1,3,18,11.245409635249999,0.0007557142857142857,12.946594285714284
53,1,3,19,11.249421325171566,0.0007714285714285713,13.960118571428573
54,1,3,20,11.252293977977631,0.0007042857142857144,14.944905714285715
55,1,3,21,11.240129534875669,1.4285714285714286e-06,15.956357142857142
56,1,3,22,11.235353782946284,1.4285714285714285e-05,16.959582857142856
57,1,3,23,11.24007359047336,1.5714285714285712e-05,17.953561428571433
58,1,3,24,11.249949965086783,0.0,18.95822142857143
59,1,3,25,11.252515076101135,0.0,19.976625714285714
60,1,4,6,415.2477128935843,169.7334185714286,2.952291428571428
61,1,4,7,406.12853487707997,172.1192742857143,3.9528057142857147
62,1,4,8,11.713465708339843,1.5416157142857145,4.218981428571428
63,1,4,9,11.921928749771212,1.5915499999999998,5.226335714285714
64,1,4,10,12.151666688817778,1.6654385714285718,6.2357385714285725
65,1,4,11,11.880768394089388,1.5589714285714282,7.226542857142858
66,1,4,12,9.373070722215664,0.10795000000000002,8.227151428571428
67,1,4,13,9.396612678617165,0.10529,9.23191142857143
68,1,4,14,9.409710466958892,0.10910999999999998,10.215482857142856
69,1,4,15,9.386981803110857,0.11166285714285715,11.20951
70,1,4,16,9.364785225842757,0.010471428571428574,12.201915714285715
71,1,4,17,9.375872329466729,0.011947142857142856,13.219692857142856
72,1,4,18,9.362292118225154,0.010897142857142859,14.240698571428572
73,1,4,19,9.364904371674768,0.010471428571428574,15.211511428571432
74,1,4,20,9.36667916209845,0.0009528571428571428,16.22291285714286
75,1,4,21,9.357342808767275,0.0009671428571428573,17.22384
76,1,4,22,9.366727181275948,0.0011014285714285713,18.22528571428571
77,1,4,23,9.366468157606498,0.0007885714285714285,19.206198571428573
78,1,4,24,9.360410818475273,4.142857142857142e-05,20.212647142857143
79,1,4,25,9.36156354069131,2.857142857142857e-05,21.21175857142857
80,1,5,6,214.70057786939648,76.90428714285714,2.762642857142857
